time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, lambda_2, ,oil_temp2, air_temp2, water_temp2, t_inj_1, t_inj_2, sweep,
547435.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,3.00,
547521.00,5000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,3.00,
547607.00,5250.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,3.00,
547693.00,5500.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,3.00,
547778.00,5750.00,nan,nan,nan,nan,nan,nan,nan,nan,4501.00,4501.00,3.00,
547864.00,6000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,3.00,
597300.00,0.00,1.27,47.19,0.00,59.24,nan,nan,nan,nan,7120.86,7000.00,4.00,
597386.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
597472.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
597595.00,750.00,1.23,47.47,0.00,58.46,nan,nan,nan,nan,7116.91,7000.00,4.00,
597679.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
597764.00,1250.00,1.02,46.78,0.00,58.33,nan,nan,nan,nan,7093.54,7000.00,4.00,
597848.00,1500.00,1.47,47.72,0.00,46.53,nan,nan,nan,nan,7187.08,7000.00,4.00,
597932.00,1750.00,1.15,47.24,0.00,54.34,0.87,46.66,0.00,53.42,6111.65,6093.54,4.00,
598018.00,2000.00,0.88,46.79,0.00,58.36,1.36,46.49,0.00,56.40,5554.39,5660.98,4.00,
598104.00,2250.00,0.85,46.81,0.00,56.46,1.13,46.56,0.00,55.83,5277.89,5393.34,4.00,
598190.00,2500.00,0.92,46.60,0.00,56.84,0.97,46.74,0.00,57.05,5300.00,5385.29,4.00,
598276.00,2750.00,0.99,46.61,0.00,57.66,0.99,46.96,0.00,56.83,5372.16,5381.46,4.00,
598362.00,3000.00,1.14,46.88,0.00,57.07,1.02,47.49,0.00,56.77,5393.54,5386.35,4.00,
598448.00,3250.00,1.09,46.57,0.00,56.65,1.06,48.29,0.00,56.80,5393.54,5386.75,4.00,
598534.00,3500.00,1.00,46.49,0.00,58.33,1.03,49.10,0.00,57.33,5393.54,5378.35,4.00,
598620.00,3750.00,1.11,46.61,0.00,57.32,1.03,49.97,0.00,59.14,5393.54,5387.42,4.00,
