OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
5735.00,1970-01-01 00:00:05.735,4.87,8.37,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.19,47.18,50.67,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
5835.00,1970-01-01 00:00:05.835,4.87,8.49,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.25,47.18,50.67,1372.05,0.00,-0.55,0.07,17.00,10.00,0.00
5935.00,1970-01-01 00:00:05.935,4.84,8.60,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.18,50.67,1372.05,0.00,-0.61,0.06,17.00,10.00,0.00
6035.00,1970-01-01 00:00:06.035,4.73,8.78,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.24,47.20,50.75,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
6135.00,1970-01-01 00:00:06.135,4.72,8.89,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.26,47.20,50.75,1372.05,0.00,-0.56,0.07,17.00,10.00,0.00
6235.00,1970-01-01 00:00:06.235,4.70,9.01,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.24,47.30,50.70,1372.05,0.00,-0.50,0.06,17.00,10.00,0.00
6335.00,1970-01-01 00:00:06.335,4.82,9.19,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.30,50.70,1372.05,0.00,-0.55,0.07,17.00,10.00,0.00
6435.00,1970-01-01 00:00:06.435,4.83,9.30,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.30,50.70,1372.05,0.00,-0.58,0.06,17.00,10.00,0.00
6535.00,1970-01-01 00:00:06.535,4.78,9.42,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.27,47.30,50.77,1372.05,0.00,-0.57,0.07,17.00,10.00,0.00
6635.00,1970-01-01 00:00:06.635,4.75,9.54,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.30,50.77,1372.05,0.00,-0.61,0.06,17.00,10.00,0.00
6735.00,1970-01-01 00:00:06.735,4.75,9.66,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.24,47.27,50.77,1372.05,0.00,-0.51,0.06,17.00,10.00,0.00
6835.00,1970-01-01 00:00:06.835,4.59,9.83,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.24,47.27,50.77,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
6935.00,1970-01-01 00:00:06.935,4.55,9.95,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.19,47.27,50.77,1372.05,0.00,-0.57,0.07,17.00,10.00,0.00
7035.00,1970-01-01 00:00:07.035,4.53,10.06,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.25,47.27,50.75,1372.05,0.00,-0.55,0.07,17.00,10.00,0.00
7135.00,1970-01-01 00:00:07.135,4.54,10.18,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.22,47.27,50.75,1372.05,0.00,-0.59,0.06,17.00,10.00,0.00
7235.00,1970-01-01 00:00:07.235,4.53,10.30,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.23,47.27,50.75,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
7335.00,1970-01-01 00:00:07.335,4.66,10.47,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.29,50.83,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
7435.00,1970-01-01 00:00:07.435,4.69,10.59,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.29,50.83,1372.05,0.00,-0.50,0.07,17.00,10.00,0.00
7535.00,1970-01-01 00:00:07.535,4.66,10.71,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.30,50.83,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
7635.00,1970-01-01 00:00:07.635,4.64,10.83,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.30,50.83,1372.05,0.00,-0.58,0.07,17.00,10.00,0.00
7735.00,1970-01-01 00:00:07.735,4.66,10.94,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.26,47.30,50.83,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
7835.00,1970-01-01 00:00:07.835,4.64,11.06,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.34,50.83,1372.05,0.00,-0.62,0.06,17.00,10.00,0.00
8004.00,1970-01-01 00:00:08.004,4.59,11.29,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.26,47.34,50.83,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
8104.00,1970-01-01 00:00:08.104,4.56,11.41,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.34,50.85,1372.05,0.00,-0.54,0.06,17.00,10.00,0.00
8204.00,1970-01-01 00:00:08.204,4.52,11.53,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.34,50.85,1372.05,0.00,-0.56,0.07,17.00,10.00,0.00
8304.00,1970-01-01 00:00:08.304,4.51,11.64,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.17,47.29,50.83,1372.05,0.00,-0.56,0.07,17.00,10.00,0.00
8404.00,1970-01-01 00:00:08.404,4.49,11.76,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.29,50.83,1372.05,0.00,-0.54,0.07,17.00,10.00,0.00
8504.00,1970-01-01 00:00:08.504,4.48,11.88,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.29,50.83,1372.05,0.00,-0.58,0.07,17.00,10.00,0.00
8604.00,1970-01-01 00:00:08.604,4.48,12.00,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.30,50.90,1372.05,0.00,-0.54,0.06,17.00,10.00,0.00
8704.00,1970-01-01 00:00:08.704,4.47,12.11,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.30,50.90,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
8804.00,1970-01-01 00:00:08.804,4.33,12.29,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.22,47.30,50.90,1372.05,0.00,-0.53,0.07,17.00,10.00,0.00
8904.00,1970-01-01 00:00:08.904,4.34,12.41,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.21,47.31,50.88,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
9004.00,1970-01-01 00:00:09.004,4.33,12.52,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.20,47.31,50.88,1372.05,0.00,-0.59,0.07,17.00,10.00,0.00
9104.00,1970-01-01 00:00:09.104,4.30,12.64,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.26,47.32,50.88,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
9204.00,1970-01-01 00:00:09.204,4.31,12.76,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.32,50.88,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
9304.00,1970-01-01 00:00:09.304,4.29,12.87,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.32,50.88,1372.05,0.00,-0.52,0.06,17.00,10.00,0.00
9404.00,1970-01-01 00:00:09.404,4.25,12.99,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.30,50.85,1372.05,0.00,-0.56,0.07,17.00,10.00,0.00
9504.00,1970-01-01 00:00:09.504,4.25,13.11,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.30,50.85,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
9604.00,1970-01-01 00:00:09.604,4.22,13.22,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.34,50.92,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
9704.00,1970-01-01 00:00:09.704,4.19,13.34,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.34,50.92,1372.05,0.00,-0.60,0.06,17.00,10.00,0.00
9804.00,1970-01-01 00:00:09.804,4.16,13.46,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.34,50.92,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
9904.00,1970-01-01 00:00:09.904,4.15,13.58,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.24,50.94,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
10135.00,2019-04-29 13:52:10.135,4.27,13.87,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.21,47.27,50.92,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
10235.00,2019-04-29 13:52:10.235,4.28,13.99,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.21,47.27,50.92,1372.05,0.00,-0.57,0.05,17.00,10.00,0.00
10335.00,2019-04-29 13:52:10.335,4.30,14.10,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.21,47.27,50.92,1372.05,0.00,-0.51,0.05,17.00,10.00,0.00
10435.00,2019-04-29 13:52:10.435,4.27,14.22,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.22,47.32,50.97,1372.05,0.00,-0.57,0.05,17.00,10.00,0.00
10535.00,2019-04-29 13:52:10.535,4.25,14.34,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.32,50.97,1372.05,0.00,-0.59,0.05,17.00,10.00,0.00
10635.00,2019-04-29 13:52:10.635,4.26,14.45,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.32,50.97,1372.05,0.00,-0.56,0.05,17.00,10.00,0.00
10735.00,2019-04-29 13:52:10.735,4.23,14.57,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.34,50.92,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
10835.00,2019-04-29 13:52:10.835,4.19,14.69,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.34,50.92,1372.05,0.00,-0.55,0.04,17.00,10.00,0.00
10935.00,2019-04-29 13:52:10.935,4.19,14.80,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.32,50.94,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
11035.00,2019-04-29 13:52:11.035,4.05,14.86,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.32,50.94,1372.05,0.00,-0.51,0.05,17.00,10.00,0.00
11135.00,2019-04-29 13:52:11.135,3.99,14.98,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.32,50.94,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
11235.00,2019-04-29 13:52:11.235,4.01,15.10,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.32,50.95,1372.05,0.00,-0.60,0.05,17.00,10.00,0.00
11335.00,2019-04-29 13:52:11.335,3.97,15.21,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.24,47.32,50.95,1372.05,0.00,-0.54,0.05,17.00,10.00,0.00
11435.00,2019-04-29 13:52:11.435,3.95,15.33,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.21,47.37,50.96,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
11535.00,2019-04-29 13:52:11.535,3.96,15.45,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.20,47.37,50.96,1372.05,0.00,-0.53,0.05,17.00,10.00,0.00
11635.00,2019-04-29 13:52:11.635,3.94,15.57,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.22,47.37,50.96,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
11735.00,2019-04-29 13:52:11.735,3.93,15.68,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.38,50.94,1372.05,0.00,-0.59,0.06,17.00,10.00,0.00
11835.00,2019-04-29 13:52:11.835,3.95,15.80,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.38,50.94,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
11935.00,2019-04-29 13:52:11.935,4.10,15.86,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.38,50.94,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
12035.00,2019-04-29 13:52:12.035,4.06,15.98,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.38,51.05,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
12135.00,2019-04-29 13:52:12.135,4.04,16.09,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.38,51.05,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
12235.00,2019-04-29 13:52:12.235,4.04,16.21,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.30,51.01,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
12335.00,2019-04-29 13:52:12.335,4.01,16.33,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.30,51.01,1372.05,0.00,-0.54,0.05,17.00,10.00,0.00
12435.00,2019-04-29 13:52:12.435,3.98,16.44,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.30,51.01,1372.05,0.00,-0.58,0.05,17.00,10.00,0.00
12535.00,2019-04-29 13:52:12.535,3.99,16.56,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.31,51.13,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
12635.00,2019-04-29 13:52:12.635,3.93,16.68,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.20,47.31,51.13,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
12735.00,2019-04-29 13:52:12.735,3.79,16.74,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.19,47.32,51.00,1372.05,0.00,-0.53,0.05,17.00,10.00,0.00
12835.00,2019-04-29 13:52:12.835,3.79,16.85,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.21,47.32,51.00,1372.05,0.00,-0.56,0.05,17.00,10.00,0.00
12935.00,2019-04-29 13:52:12.935,3.75,16.97,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.32,51.00,1372.05,0.00,-0.59,0.05,17.00,10.00,0.00
13035.00,2019-04-29 13:52:13.035,3.73,17.09,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.34,51.01,1372.05,0.00,-0.57,0.05,17.00,10.00,0.00
13135.00,2019-04-29 13:52:13.135,3.87,17.15,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.20,47.34,51.01,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
13235.00,2019-04-29 13:52:13.235,3.88,17.26,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.34,51.01,1372.05,0.00,-0.56,0.05,17.00,10.00,0.00
13335.00,2019-04-29 13:52:13.335,3.84,17.38,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.34,50.97,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
13435.00,2019-04-29 13:52:13.435,3.87,17.50,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.34,50.97,1372.05,0.00,-0.53,0.05,17.00,10.00,0.00
13535.00,2019-04-29 13:52:13.535,3.87,17.61,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.30,51.07,1372.05,0.00,-0.54,0.06,17.00,10.00,0.00
13635.00,2019-04-29 13:52:13.635,3.84,17.73,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.30,51.07,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
13735.00,2019-04-29 13:52:13.735,3.70,17.79,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.30,51.07,1372.05,0.00,-0.53,0.05,17.00,10.00,0.00
13835.00,2019-04-29 13:52:13.835,4.56,17.96,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.20,47.29,51.07,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
13935.00,2019-04-29 13:52:13.935,4.14,18.08,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.24,47.29,51.07,1372.05,0.00,-0.51,0.06,17.00,10.00,0.00
14035.00,2019-04-29 13:52:14.035,4.17,18.14,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.23,47.34,51.00,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
14135.00,2019-04-29 13:52:14.135,4.00,18.26,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.26,47.34,51.00,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
14235.00,2019-04-29 13:52:14.235,3.86,18.37,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.26,47.34,51.00,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
14335.00,2019-04-29 13:52:14.335,3.78,18.49,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.29,47.34,51.07,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
14435.00,2019-04-29 13:52:14.435,3.74,18.61,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.28,47.34,51.07,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
14535.00,2019-04-29 13:52:14.535,3.60,18.67,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.25,47.34,51.07,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
14635.00,2019-04-29 13:52:14.635,3.53,18.78,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.28,47.34,51.05,1372.05,0.00,-0.51,0.06,17.00,10.00,0.00
14735.00,2019-04-29 13:52:14.735,3.65,18.84,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.26,47.34,51.05,1372.05,0.00,-0.57,0.05,17.00,10.00,0.00
14835.00,2019-04-29 13:52:14.835,3.67,18.96,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.26,47.29,51.07,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
14935.00,2019-04-29 13:52:14.935,3.63,19.08,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.28,47.29,51.07,1372.05,0.00,-0.55,0.05,17.00,10.00,0.00
15035.00,2019-04-29 13:52:15.035,3.65,19.19,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.24,47.29,51.07,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
15135.00,2019-04-29 13:52:15.135,3.50,19.25,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.26,47.27,51.10,1372.05,0.00,-0.52,0.06,17.00,10.00,0.00
