 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Ignition angle
0,0,0,1.47,0,1,1,0,0,12.26,42.8,41.38,39.68,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.82,41.34,39.57,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.8,41.36,39.59,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.23,42.83,41.27,39.57,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.83,41.26,39.5,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.78,41.37,39.58,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.71,41.37,39.39,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.73,41.34,39.4,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.22,42.73,41.28,39.39,0,-0.21,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.73,41.21,39.42,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.76,41.25,39.33,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.7,41.23,39.33,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.7,41.26,39.35,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.68,41.32,39.38,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.64,41.27,39.27,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.64,41.26,39.3,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.23,42.66,41.28,39.3,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.73,41.21,39.3,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.22,42.57,41.26,39.26,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.6,41.21,39.17,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.23,42.59,41.27,39.19,0,-0.23,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,42.51,41.23,39.13,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.55,41.16,39.17,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.58,41.2,39.17,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.23,42.55,41.26,39.14,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,42.6,41.16,39.1,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.5,41.26,39.13,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.23,42.58,41.25,39.05,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.51,41.25,39,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.51,41.31,38.96,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.46,41.23,38.98,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.22,42.52,41.23,38.95,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.5,41.2,38.87,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.45,41.26,38.96,0,-0.2,16,10,0
